date,Casual,Member
2018-05-01,2913,11214
2018-05-02,2736,11196
2018-05-03,2957,11206
2018-05-04,4044,10076
2018-05-05,4783,7469
2018-05-06,4518,6894
2018-05-07,3319,10503
2018-05-08,2622,11235
2018-05-09,2709,11348
2018-05-10,2649,10399
2018-05-11,4184,10845
2018-05-12,6114,8113
2018-05-13,3081,5175
2018-05-14,2481,8378
2018-05-15,2672,9782
2018-05-16,918,6058
2018-05-17,510,4285
2018-05-18,471,4305
2018-05-19,2044,4754
2018-05-20,5929,8151
2018-05-21,3559,11068
2018-05-22,1422,7205
2018-05-23,3042,11526
2018-05-24,3353,11115
2018-05-25,4417,10408
2018-05-26,5989,6625
2018-05-27,6627,6347
2018-05-28,5276,6862
2018-05-29,2962,10379
2018-05-30,2344,10419
2018-05-31,1658,8472
2016-04-01,2542,8332
2016-04-02,3478,5804
2016-04-03,1921,4879
2016-04-04,971,6427
2016-04-05,645,6867
2016-04-06,1055,8013
2016-04-07,490,4943
2016-04-08,1651,7878
2016-04-09,795,3274
2016-04-10,2507,4914
2016-04-11,1479,7977
2016-04-12,926,7657
2016-04-13,1152,8979
2016-04-14,1323,9200
2016-04-15,2329,9066
2016-04-16,5969,7536
2016-04-17,5252,7115
2016-04-18,2409,9473
2016-04-19,1962,9965
2016-04-20,1712,9938
2016-04-21,1738,9709
2016-04-22,2068,9025
2016-04-23,3018,5469
2016-04-24,4816,7132
2016-04-25,2296,9398
2016-04-26,1754,9964
2016-04-27,924,7436
2016-04-28,353,4842
2016-04-29,1055,7203
2016-04-30,2845,5666
2016-05-01,947,3429
2016-05-02,1275,6864
2016-05-03,803,7329
2016-05-04,1018,8607
2016-05-05,893,7833
2016-05-06,169,2933
2016-05-07,2879,6346
2016-05-08,4057,6746
2016-05-09,1022,8142
2016-05-10,1311,8931
2016-05-11,620,7049
2016-05-12,1488,9317
2016-05-13,1543,8563
2016-05-14,3362,6027
2016-05-15,2686,5821
2016-05-16,2267,9090
2016-05-17,293,5081
2016-05-18,1162,9421
2016-05-19,1940,9780
2016-05-20,3238,10622
2016-05-21,1059,3373
2016-05-22,426,2425
2016-05-23,1249,6799
2016-05-24,2397,10838
2016-05-25,2220,10566
2016-05-26,1881,10307
2016-05-27,2767,9372
2016-05-28,5846,5714
2016-05-29,4911,4158
2016-05-30,4229,5701
2016-05-31,2045,9533
2016-06-01,1669,10686
2016-06-02,1671,10695
2016-06-03,1448,7069
2016-06-04,4286,7705
2016-06-05,2851,6527
2016-06-06,2055,10413
2016-06-07,2118,11153
2016-06-08,2097,11489
2016-06-09,2217,11206
2016-06-10,2891,10839
2016-06-11,4328,7665
2016-06-12,4153,6870
2016-06-13,2607,10554
2016-06-14,2409,11540
2016-06-15,2277,10677
2016-06-16,1778,9278
2016-06-17,2826,10464
2016-06-18,5823,7727
2016-06-19,4779,7051
2016-06-20,2818,10094
2016-06-21,1672,7841
2016-06-22,2876,11026
2016-06-23,1598,7837
2016-06-24,2617,9788
2016-06-25,5858,7742
2016-06-26,5274,7082
2016-06-27,2332,9590
2016-06-28,1624,9440
2016-06-29,2464,11314
2016-06-30,2396,10923
2013-04-01,1303,5065
2013-04-02,738,5164
2013-04-03,929,5297
2013-04-04,904,4925
2013-04-05,1559,6030
2013-04-06,4099,5172
2013-04-07,4428,5334
2013-04-08,1949,6517
2013-04-09,2138,7612
2013-04-10,1965,7588
2013-04-11,1886,7205
2013-04-12,1173,4824
2013-04-13,5375,5892
2013-04-14,4370,5234
2013-04-15,1289,5619
2013-04-16,1519,6728
2013-04-17,1363,7114
2013-04-18,1192,6494
2013-04-19,1082,5036
2013-04-20,3411,5382
2013-04-21,2510,4820
2013-04-22,779,5958
2013-04-23,946,6488
2013-04-24,1306,7154
2013-04-25,1350,6912
2013-04-26,1844,7152
2013-04-27,4947,5873
2013-04-28,3335,4516
2013-04-29,480,3809
2013-04-30,604,4755
2013-05-01,1197,7410
2013-05-02,1323,7167
2013-05-03,1774,6881
2013-05-04,3650,5822
2013-05-05,2931,5055
2013-05-06,1065,5440
2013-05-07,344,4075
2013-05-08,821,5765
2013-05-09,1122,6671
2013-05-10,1979,6891
2013-05-11,2099,4356
2013-05-12,3084,4926
2013-05-13,1064,6317
2013-05-14,1264,6797
2013-05-15,1321,7435
2013-05-16,1522,7373
2013-05-17,2544,7503
2013-05-18,1925,4408
2013-05-19,2077,4597
2013-05-20,1624,6759
2013-05-21,1648,7394
2013-05-22,1401,7494
2013-05-23,1288,6763
2013-05-24,1004,5623
2013-05-25,3621,4323
2013-05-26,5652,4236
2013-05-27,4452,4514
2013-05-28,1587,5964
2013-05-29,1736,7539
2013-05-30,1366,7374
2013-05-31,1835,7267
2013-06-01,3657,5800
2013-06-02,2997,4667
2013-06-03,1442,5951
2013-06-04,1852,8074
2013-06-05,1910,8076
2013-06-06,1223,5631
2013-06-07,242,2235
2013-06-08,3572,6186
2013-06-09,3433,5787
2013-06-10,713,3655
2013-06-11,1737,7456
2013-06-12,1585,7595
2013-06-13,1162,6097
2013-06-14,2209,7574
2013-06-15,4201,6245
2013-06-16,3533,5177
2013-06-17,1729,6884
2013-06-18,940,6200
2013-06-19,1802,8237
2013-06-20,1795,8352
2013-06-21,2367,7952
2013-06-22,4401,6398
2013-06-23,2404,4771
2013-06-24,1470,6572
2013-06-25,1559,7411
2013-06-26,1312,7080
2013-06-27,1302,7317
2013-06-28,1060,5187
2013-06-29,3973,6530
2013-06-30,2405,4682
2015-10-01,224,4575
2015-10-02,104,1975
2015-10-03,598,3452
2015-10-04,1311,5313
2015-10-05,1234,9211
2015-10-06,1203,10348
2015-10-07,1181,10553
2015-10-08,1474,10237
2015-10-09,1829,8672
2015-10-10,3800,6469
2015-10-11,4380,6111
2015-10-12,2889,7606
2015-10-13,1294,9509
2015-10-14,1214,10192
2015-10-15,1654,9852
2015-10-16,1874,9389
2015-10-17,2861,5921
2015-10-18,1788,5190
2015-10-19,913,8161
2015-10-20,933,9103
2015-10-21,1056,9622
2015-10-22,1643,9644
2015-10-23,2136,9334
2015-10-24,3434,6296
2015-10-25,2654,5933
2015-10-26,1434,8539
2015-10-27,939,8858
2015-10-28,201,4978
2015-10-29,1142,9490
2015-10-30,1125,8575
2015-10-31,2425,6296
2015-11-01,1897,5314
2015-11-02,1051,8395
2015-11-03,985,9523
2015-11-04,1092,9730
2015-11-05,1073,9480
2015-11-06,2155,9454
2015-11-07,1148,4462
2015-11-08,2790,6204
2015-11-09,564,6151
2015-11-10,248,5525
2015-11-11,945,7956
2015-11-12,543,7933
2015-11-13,928,8334
2015-11-14,1823,5348
2015-11-15,1932,5509
2015-11-16,757,8399
2015-11-17,652,8574
2015-11-18,752,9016
2015-11-19,258,5997
2015-11-20,947,8150
2015-11-21,1867,5432
2015-11-22,819,4129
2015-11-23,313,6288
2015-11-24,506,6994
2015-11-25,696,6168
2015-11-26,1366,2028
2015-11-27,2857,3383
2015-11-28,2824,3594
2015-11-29,343,2534
2015-11-30,114,4046
2015-12-01,73,3881
2015-12-02,160,5580
2015-12-03,308,7661
2015-12-04,478,7462
2015-12-05,1461,5625
2015-12-06,1104,4876
2015-12-07,559,7369
2015-12-08,483,7975
2015-12-09,301,7681
2015-12-10,561,8124
2015-12-11,797,7925
2015-12-12,2300,6420
2015-12-13,1933,6101
2015-12-14,545,6100
2015-12-15,526,8277
2015-12-16,595,8030
2015-12-17,135,4418
2015-12-18,344,6354
2015-12-19,532,3747
2015-12-20,574,3645
2015-12-21,591,6084
2015-12-22,396,4538
2015-12-23,101,2162
2015-12-24,465,2331
2015-12-25,730,772
2015-12-26,1029,1673
2015-12-27,2249,2374
2015-12-28,838,3621
2015-12-29,1004,4249
2015-12-30,1038,4237
2015-12-31,1291,4564
2018-02-01,412,7320
2018-02-02,225,4974
2018-02-03,551,3243
2018-02-04,100,1328
2018-02-05,281,5614
2018-02-06,304,6552
2018-02-07,102,4137
2018-02-08,289,6236
2018-02-09,639,6374
2018-02-10,279,1818
2018-02-11,648,2688
2018-02-12,557,6300
2018-02-13,406,6829
2018-02-14,584,7456
2018-02-15,1194,8565
2018-02-16,808,6114
2018-02-17,696,2425
2018-02-18,2909,4048
2018-02-19,814,3767
2018-02-20,1869,9120
2018-02-21,1990,9816
2018-02-22,657,6637
2018-02-23,818,6063
2018-02-24,1218,4189
2018-02-25,899,3655
2018-02-26,693,7772
2018-02-27,959,8727
2018-02-28,932,8778
2012-01-01,688,1572
2012-01-02,244,1693
2012-01-03,89,2130
2012-01-04,95,2262
2012-01-05,140,3111
2012-01-06,304,3750
2012-01-07,1074,3406
2012-01-08,601,2807
2012-01-09,106,2219
2012-01-10,173,3400
2012-01-11,92,2074
2012-01-12,270,3793
2012-01-13,173,3017
2012-01-14,333,2137
2012-01-15,283,2009
2012-01-16,217,2060
2012-01-17,125,2788
2012-01-18,109,3244
2012-01-19,131,3147
2012-01-20,114,3012
2012-01-21,67,1217
2012-01-22,196,1758
2012-01-23,145,2266
2012-01-24,439,3856
2012-01-25,467,3767
2012-01-26,243,3784
2012-01-27,269,3149
2012-01-28,776,3213
2012-01-29,557,2649
2012-01-30,126,3459
2012-01-31,324,4152
2012-02-01,304,4241
2012-02-02,190,3547
2012-02-03,310,3808
2012-02-04,383,2414
2012-02-05,317,2596
2012-02-06,206,3551
2012-02-07,200,4151
