iter	MultiClass
0	0.6892578379
1	0.6850822464
2	0.6810108733
3	0.6777489124
4	0.6739032878
5	0.6700380676
6	0.6671273849
7	0.663344624
8	0.6608498483
9	0.6571789279
10	0.6539146141
11	0.6514284765
12	0.6482451388
13	0.6453379231
14	0.6419051096
15	0.6386786526
16	0.636117734
17	0.6332569983
18	0.6303091367
19	0.6286606047
20	0.6271603248
21	0.6242599366
22	0.6211728102
23	0.6181614518
24	0.615065695
25	0.6122278178
26	0.6092129426
27	0.6062186177
28	0.6039378912
29	0.6016262237
30	0.5986970747
31	0.5964509618
32	0.5945181365
33	0.592007239
34	0.5892795124
35	0.5864338262
36	0.5839720223
37	0.5824266113
38	0.5799091762
39	0.5781541069
40	0.575583877
41	0.573169778
42	0.5705954606
43	0.5687153298
44	0.5669701281
45	0.5657660725
46	0.5635876017
47	0.5610291569
48	0.5587697381
49	0.557024945
50	0.555263374
51	0.5532442967
52	0.5511314668
53	0.5496946009
54	0.5476096134
55	0.5457697927
56	0.5436597146
57	0.5421312987
58	0.540632545
59	0.5384834748
60	0.5371889875
61	0.5349652501
62	0.5331402746
63	0.5311226267
64	0.529572736
65	0.5275035374
66	0.525511352
67	0.5239840155
68	0.521882539
69	0.520146986
70	0.518827196
71	0.5171363553
72	0.5155554991
73	0.5137821651
74	0.5124240471
75	0.5110759
76	0.5092512306
77	0.5073262913
78	0.5056289632
79	0.5039684243
80	0.5026231768
81	0.5011559276
82	0.4995356587
83	0.49779716
84	0.4965296093
85	0.4949972344
86	0.4936287262
87	0.4919078083
88	0.49042136
89	0.48968191
90	0.4881272178
91	0.4867573097
92	0.4854562339
93	0.4839209394
94	0.4825089956
95	0.4810708789
96	0.4796996905
97	0.4787255612
98	0.4773543141
99	0.4759404491
100	0.474641172
101	0.473192873
102	0.4720035646
103	0.4703704818
104	0.469338798
105	0.468099086
106	0.4668631326
107	0.4657891142
108	0.465205441
109	0.4640060816
110	0.4627666709
111	0.4613016416
112	0.460328908
113	0.4588579424
114	0.4575507947
115	0.456267738
116	0.4549058597
117	0.4535560936
118	0.4524284855
119	0.4510395874
120	0.4501084209
121	0.4494011761
122	0.4480651831
123	0.4471696462
124	0.4461164724
125	0.4446377839
126	0.4431235759
127	0.4419034125
128	0.4407009202
129	0.4397821765
130	0.4387186355
131	0.4379210305
132	0.4367050947
133	0.4356256935
134	0.43481524
135	0.4338214298
136	0.4328598914
137	0.4322239932
138	0.4315302198
139	0.4308865982
140	0.429996556
141	0.4289414141
142	0.4279084145
143	0.4273264689
144	0.4263843249
145	0.4254874289
146	0.4248542063
147	0.4243206002
148	0.4235176809
149	0.4227658867
150	0.4214710505
151	0.4206121575
152	0.4197040057
153	0.4193719468
154	0.4187783986
155	0.4176370617
156	0.4166888391
157	0.4158023914
158	0.4147751594
159	0.4141984001
160	0.4130294236
161	0.4122690885
162	0.4117617915
163	0.4109688547
164	0.410009111
165	0.4090138826
166	0.4082803848
167	0.4073966015
168	0.4066788163
169	0.4058612471
170	0.4052904429
171	0.4045051833
172	0.4037734521
173	0.4028436841
174	0.4022913638
175	0.401485646
176	0.401085751
177	0.4007199078
178	0.3998270943
179	0.3991376094
180	0.3986202052
181	0.3980924374
182	0.397340141
183	0.3968926418
184	0.3962182641
185	0.3956613171
186	0.3951680696
187	0.3944976468
188	0.3936377563
189	0.3929302144
190	0.3922001616
191	0.3914982403
192	0.3907945167
193	0.3900826322
194	0.3894548555
195	0.3888484812
196	0.3883047642
197	0.3878727205
198	0.3870633566
199	0.386201511
200	0.38554854
201	0.3849517074
202	0.3843133465
203	0.3838927735
204	0.3832127599
205	0.3824880279
206	0.3820571523
207	0.3815578512
208	0.3808385128
209	0.3805440345
210	0.3797492119
211	0.379225088
212	0.3786260177
213	0.3779802635
214	0.3773344314
215	0.3769962396
216	0.3768466621
217	0.3761889405
218	0.3756025789
219	0.374831585
220	0.3743323756
221	0.373984781
222	0.3735017286
223	0.3729105138
224	0.3722032594
225	0.371427265
226	0.3708847709
227	0.3704218508
228	0.3698441306
229	0.369251746
230	0.3685220288
231	0.3680622877
232	0.3674254604
233	0.3669394929
234	0.36660714
235	0.3658653197
236	0.3649483939
237	0.364525014
238	0.3640111524
239	0.3634795696
240	0.3628613633
241	0.3622986434
242	0.3617555829
243	0.361023169
244	0.3606046446
245	0.3601319554
246	0.3598753343
247	0.3594635578
248	0.3589658963
249	0.3583779284
250	0.3577570991
251	0.3571963689
252	0.3568616325
253	0.3563799067
254	0.3558307343
255	0.3555922685
256	0.3552080877
257	0.3548870412
258	0.3542850339
259	0.3540926374
260	0.3536312967
261	0.3532865042
262	0.3527898118
263	0.3523081063
264	0.3518289629
265	0.351431239
266	0.351144183
267	0.3507464668
268	0.3503924775
269	0.3498840567
270	0.3493680312
271	0.3489621658
272	0.3485515431
273	0.3481972121
274	0.3477611763
275	0.347183795
276	0.3466210273
277	0.3462312153
278	0.3459559629
279	0.3457352942
280	0.345188147
281	0.3448418378
282	0.3444137834
283	0.3440127369
284	0.3435693135
285	0.3432929571
286	0.3428349017
287	0.3425525448
288	0.342249869
289	0.3417291346
290	0.3412455391
291	0.3406231638
292	0.3401961928
293	0.3399022098
294	0.3396688137
295	0.3393547846
296	0.3388535068
297	0.3384806645
298	0.3383500292
299	0.3379450328
300	0.3377131944
301	0.3372058368
302	0.3368590276
303	0.3363402389
304	0.3359595444
305	0.3354088439
306	0.3351575091
307	0.3346395853
308	0.334230756
309	0.3338554745
310	0.3336245777
311	0.3334149392
312	0.3329871835
313	0.3327031989
314	0.3324125623
315	0.3321065177
316	0.3319364223
317	0.3314264983
318	0.3312126415
319	0.3307754871
320	0.33035496
321	0.3300873945
322	0.3296903889
323	0.3291885898
324	0.3288232
325	0.3284926004
326	0.328118513
327	0.3278826871
328	0.327577065
329	0.3271439541
330	0.3270576063
331	0.3267720612
332	0.3264435285
333	0.3261127193
334	0.3257842123
335	0.3252923411
336	0.3250089273
337	0.324669276
338	0.3243476345
339	0.3240009133
340	0.3235649039
341	0.3231686018
342	0.32283852
343	0.3225207308
344	0.3220881299
345	0.3216605505
346	0.3213284732
347	0.3208602504
348	0.3206546733
349	0.320357999
350	0.3200215858
351	0.3197661821
352	0.3195937743
353	0.3193088747
354	0.319094237
355	0.31893773
356	0.3187483048
357	0.3185515598
358	0.3182535532
359	0.3180151365
360	0.3177179365
361	0.3175498276
362	0.3171903825
363	0.3168647279
364	0.3166336053
365	0.3162794458
366	0.3160483732
367	0.3156630885
368	0.3154804011
369	0.3151757267
370	0.3147327146
371	0.3143727776
372	0.3142374662
373	0.3139139611
374	0.3137395082
375	0.3135654132
376	0.3131489568
377	0.3128599222
378	0.3126474035
379	0.3124272386
380	0.3121286225
381	0.3119028723
382	0.311481214
383	0.311115556
384	0.310881652
385	0.3106038227
386	0.3101967067
387	0.3098458465
388	0.3094925492
389	0.3091898674
390	0.3088994149
391	0.3086270391
392	0.3082896582
393	0.307995011
394	0.3076889149
395	0.3073741001
396	0.3068706116
397	0.3066369904
398	0.3063509724
399	0.3058566349
400	0.3055057974
401	0.3052478663
402	0.304999217
403	0.3047385321
404	0.3045552308
405	0.3041636034
406	0.304106218
407	0.3038050517
408	0.3036857691
409	0.3035676747
410	0.3033547575
411	0.3031140669
412	0.3029460704
413	0.3026758879
414	0.3024650084
415	0.3022245141
416	0.3020031487
417	0.3017796632
418	0.3013790893
419	0.3011986656
420	0.300896916
421	0.3006492596
422	0.3004062232
423	0.3000376764
424	0.29974443
425	0.2994898578
426	0.2992330027
427	0.2990140571
428	0.298711492
429	0.2984210749
430	0.2983540847
431	0.2982202908
432	0.2979286047
433	0.2975484158
434	0.2974993693
435	0.297236065
436	0.2968558221
437	0.2966863337
438	0.2962357229
439	0.2961383243
440	0.2959820822
441	0.2958236303
442	0.2955748495
443	0.2954221684
444	0.2951849129
445	0.2949876793
446	0.2948324373
447	0.2946867636
448	0.2943833195
449	0.294241937
450	0.2940602816
451	0.293712145
452	0.2934830811
453	0.2929933019
454	0.2926503609
455	0.2923693896
456	0.2921002602
457	0.29187386
458	0.2916356018
459	0.2915534795
460	0.2912586286
461	0.2910566022
462	0.2907751319
463	0.2906015004
464	0.2905234154
465	0.2902932886
466	0.2900520078
467	0.2897210466
468	0.289508224
469	0.2893215449
470	0.2892103849
471	0.2889128252
472	0.2887242776
473	0.2884593397
474	0.2883245805
475	0.2881824725
476	0.2880276977
477	0.2878312409
478	0.287515572
479	0.2873514474
480	0.2872265131
481	0.2870672884
482	0.2869167162
483	0.2866475467
484	0.2864437885
485	0.2861339581
486	0.2858730048
487	0.2857158151
488	0.2854539174
489	0.2851726317
490	0.2848197166
491	0.2845155547
492	0.2843261261
493	0.2840781967
494	0.2838574311
495	0.2836581305
496	0.2834614443
497	0.2831971102
498	0.2831250989
499	0.282721477
500	0.2825742193
501	0.2823788352
502	0.2820986996
503	0.2817998783
504	0.2816805429
505	0.2815521865
506	0.2812770789
507	0.2810680434
508	0.2808066825
509	0.28050996
510	0.2803474874
511	0.2801838426
512	0.279962629
513	0.2798704218
514	0.279678934
515	0.2793252254
516	0.2790968481
517	0.2789705607
518	0.2788756836
519	0.2786912022
520	0.2784928383
521	0.2782908346
522	0.2780200879
523	0.2778112899
524	0.2776819229
525	0.277364738
526	0.2772102935
527	0.2768776226
528	0.2766555778
529	0.2765636921
530	0.2764902718
531	0.2764258782
532	0.2760995664
533	0.2758322725
534	0.2756841322
535	0.2755109733
536	0.2752701369
537	0.2750782668
538	0.2747936247
539	0.2746433279
540	0.2744426842
541	0.2741404877
542	0.2739179436
543	0.273695629
544	0.2733243119
545	0.2730504908
546	0.2728991513
547	0.2727595222
548	0.2726200079
549	0.2723623008
550	0.2721904522
551	0.2719654899
552	0.2716763845
553	0.2714742031
554	0.2711714107
555	0.271050765
556	0.2708223682
557	0.2705603121
558	0.2703774225
559	0.2702765929
560	0.2699251781
561	0.2698109535
562	0.2696563414
563	0.2694102327
564	0.26936524
565	0.2692743519
566	0.2691318354
567	0.2690330884
568	0.268729831
569	0.2686062824
570	0.2685179042
571	0.2682856175
572	0.2680798707
573	0.267970367
574	0.2678415075
575	0.2676652541
576	0.2674383131
577	0.267261449
578	0.2669954977
579	0.2668355688
580	0.2667070767
581	0.2665808408
582	0.2664277915
583	0.2660926034
584	0.2658681168
585	0.2656451552
586	0.2654529234
587	0.2652346948
588	0.2649783895
589	0.2648398331
590	0.2645993834
591	0.2644155496
592	0.264158432
593	0.2640640067
594	0.2638658987
595	0.2637109129
596	0.2636209041
597	0.2634837849
598	0.2632155936
599	0.2630854294
600	0.2629526256
601	0.2628621496
602	0.2628456829
603	0.2625373096
604	0.2622818289
605	0.2621636483
606	0.2620090445
607	0.261739172
608	0.2614101687
609	0.2611307806
610	0.2610306644
611	0.2608500574
612	0.2606602779
613	0.2605290259
614	0.2604292514
615	0.2602758826
616	0.2600706386
617	0.2598209109
618	0.2596518008
619	0.259271436
620	0.2591779259
621	0.2590462649
622	0.2589559864
623	0.2588334646
624	0.2586773731
625	0.2584585335
626	0.2581360922
627	0.2578298318
628	0.2576241005
629	0.2574601676
630	0.2572334466
631	0.2570045078
632	0.2569178515
633	0.2567926871
634	0.2566571031
635	0.2565511413
636	0.2564121197
637	0.2561055991
638	0.2559524153
639	0.2557001692
640	0.2555396446
641	0.2553669632
642	0.2550182758
643	0.2548370878
644	0.254684761
645	0.2544455367
646	0.2543354454
647	0.2542444032
648	0.2540938835
649	0.2539010035
650	0.2538272155
651	0.2537105575
652	0.2534808024
653	0.2532095967
654	0.2529498073
655	0.2527503851
656	0.2526762483
657	0.2524149426
658	0.2522790199
659	0.2520698503
660	0.2518079684
661	0.2516605597
662	0.251563157
663	0.251328323
664	0.2511664445
665	0.2510067928
666	0.2507897333
667	0.2506211495
668	0.2504479424
669	0.2503727549
670	0.2502303026
671	0.2500789392
672	0.2499713978
673	0.2498640196
674	0.2497014346
675	0.2495748795
676	0.2492856365
677	0.2491737709
678	0.2489545244
679	0.248773172
680	0.2486488951
681	0.248591999
682	0.2484682492
683	0.2482747583
684	0.2480774556
685	0.2478750859
686	0.2476862976
687	0.2476325173
688	0.2475130637
689	0.2474200803
690	0.2473285542
691	0.2470229204
692	0.246813593
693	0.2467833074
694	0.2464568754
695	0.2462012119
696	0.2460903028
697	0.2458866344
698	0.2455700841
699	0.2455105659
700	0.245348746
701	0.2452135342
702	0.2451002362
703	0.2448766878
704	0.244777809
705	0.2446519536
706	0.2444752654
707	0.2442578542
708	0.2441411012
709	0.2438726317
710	0.2436583945
711	0.2435381512
712	0.2433986857
713	0.2430309125
714	0.2427853359
715	0.2425481871
716	0.2424364293
717	0.2423163457
718	0.2421922883
719	0.2420750381
720	0.2420069029
721	0.2417995936
722	0.241675205
723	0.2414263568
724	0.2412845648
725	0.2411076042
726	0.2410660945
727	0.2409615126
728	0.2407964317
729	0.2405716853
730	0.24038831
731	0.2401743299
732	0.2400791534
733	0.2398233297
734	0.2396705846
735	0.2394759078
736	0.2393400211
737	0.2391333585
738	0.2390127817
739	0.2387759162
740	0.238684617
741	0.2386451106
742	0.2385101269
743	0.2384071727
744	0.2382457486
745	0.238153616
746	0.2380233438
747	0.237915988
748	0.2376282504
749	0.2375492254
750	0.2373731753
751	0.2371185872
752	0.237015519
753	0.2368867659
754	0.236774523
755	0.2366398107
756	0.2365691365
757	0.2364249748
758	0.2362755636
759	0.2361455047
760	0.2360255949
761	0.2357777794
762	0.2355556382
763	0.2354254847
764	0.23521634
765	0.235149569
766	0.2349574965
767	0.2347576771
768	0.2346287366
769	0.2345553548
770	0.2344047169
771	0.2342288966
772	0.2340889441
773	0.2339050671
774	0.2336883562
775	0.2335640122
776	0.2333653185
777	0.2332418196
778	0.2330354625
779	0.2327983071
780	0.2326707291
781	0.2325709096
782	0.2323545321
783	0.2322947963
784	0.232205057
785	0.2321264136
786	0.2319355639
787	0.2318833802
788	0.2317569675
789	0.2317291852
790	0.2315062523
791	0.231372437
792	0.2311494979
793	0.230978619
794	0.2308345836
795	0.2306622189
796	0.2306313629
797	0.2303495981
798	0.2302946283
799	0.2300589579
800	0.2299446553
801	0.2298475715
802	0.2296916943
803	0.2296266817
804	0.2294564924
805	0.2292519934
806	0.2291034805
807	0.2288771013
808	0.228777577
809	0.2285898317
810	0.2284103807
811	0.2282762875
812	0.2280224725
813	0.2278995082
814	0.2275846343
815	0.2275027219
816	0.2272924141
817	0.2272039182
818	0.2271089976
819	0.2270341614
820	0.2269568088
821	0.2268842203
822	0.2266195971
823	0.2265430872
824	0.2263400151
825	0.2262329954
826	0.2261041605
827	0.2259923249
828	0.2259036506
829	0.2257244866
830	0.2255396937
831	0.2252963999
832	0.2251178272
833	0.2249627914
834	0.2247861528
835	0.2247061177
836	0.2246103116
837	0.2245122374
838	0.2244309064
839	0.2242262948
840	0.2241501259
841	0.223972839
842	0.2238816172
843	0.2238275263
844	0.2237410748
845	0.2236010133
846	0.2234241485
847	0.223236733
848	0.223135214
849	0.2230657428
850	0.2229314225
851	0.2227106567
852	0.2225670171
853	0.2224996081
854	0.2224001264
855	0.2222559626
856	0.2221964283
857	0.2221460265
858	0.2220983282
859	0.2220570082
860	0.2219723226
861	0.2219456721
862	0.2217469181
863	0.2216684084
864	0.2214565084
865	0.2212921695
866	0.2210853595
867	0.2209759778
868	0.2208454418
869	0.2207591324
870	0.2206935841
871	0.2205051929
872	0.2202891968
873	0.2200988575
874	0.2199799002
875	0.2198097881
876	0.2196437948
877	0.2195475475
878	0.2194377345
879	0.2191608474
880	0.2190799536
881	0.2189960888
882	0.218785721
883	0.2186093086
884	0.2185128995
885	0.2183712551
886	0.218224642
887	0.2180840831
888	0.2178376545
889	0.2177119245
890	0.2176005343
891	0.2175209148
892	0.2172790421
893	0.2171445025
894	0.2169384841
895	0.2168212452
896	0.2167167025
897	0.2165937519
898	0.216544692
899	0.2164147815
900	0.2163051012
901	0.2161464562
902	0.2160477175
903	0.2159771242
904	0.2157753837
905	0.2156986053
906	0.2154291739
907	0.215237761
908	0.2151802061
909	0.2150390353
910	0.2149136736
911	0.2147131453
912	0.2145615282
913	0.2144722594
914	0.2143965882
915	0.2142497154
916	0.2140753515
917	0.2139486452
918	0.2137821722
919	0.2136353336
920	0.2134417903
921	0.213375253
922	0.2131530596
923	0.2130626757
924	0.2129159431
925	0.2128173346
926	0.2127734046
927	0.2126416892
928	0.2125714571
929	0.2125044399
930	0.2123997797
931	0.2123250688
932	0.2122285646
933	0.2120853679
934	0.2119952196
935	0.2118478713
936	0.2116699585
937	0.2115451764
938	0.2114553232
939	0.2113380472
940	0.2112529699
941	0.2111142335
942	0.2109258476
943	0.2108485245
944	0.2107656917
945	0.2107039876
946	0.210571215
947	0.210508886
948	0.2104448962
949	0.2103208998
950	0.2102159779
951	0.2101611613
952	0.2100158833
953	0.2098931896
954	0.2098720232
955	0.209749593
956	0.2095730792
957	0.2095074187
958	0.2093905956
959	0.2093176357
960	0.2091370235
961	0.2090455463
962	0.2089702276
963	0.2089048886
964	0.2088343472
965	0.2087590872
966	0.2086095416
967	0.2085011063
968	0.20835071
969	0.2083008903
970	0.2082651357
971	0.2081111942
972	0.2080185798
973	0.2078067086
974	0.2076595887
975	0.2075125166
976	0.2073900221
977	0.207192874
978	0.2070456877
979	0.2069990323
980	0.2069342002
981	0.2069037972
982	0.2068690083
983	0.2067957433
984	0.2066473972
985	0.2065481291
986	0.2063711425
987	0.2061888942
988	0.2061408692
989	0.206071913
990	0.2059969701
991	0.2059389138
992	0.2058984172
993	0.2057946521
994	0.2057103534
995	0.2055331163
996	0.2054674671
997	0.2052917072
998	0.2051172126
999	0.2050385087
