iter	Passed	Remaining
0	0	439
1	1	355
2	2	340
3	2	335
4	3	331
5	4	330
6	4	325
7	5	322
8	5	324
9	6	331
10	7	333
11	8	348
12	9	344
13	9	340
14	10	338
15	11	358
16	12	356
17	13	352
18	13	344
19	14	343
20	14	337
21	15	335
22	16	332
23	16	330
24	17	325
25	17	324
26	18	322
27	19	321
28	19	320
29	20	322
30	21	321
31	21	320
32	22	317
33	23	319
34	24	321
35	24	320
36	25	321
37	26	319
38	26	314
39	27	310
40	27	310
41	28	309
42	29	308
43	29	309
44	30	307
45	30	304
46	31	303
47	31	301
48	33	304
49	33	305
50	34	304
51	35	303
52	35	301
53	36	300
54	37	299
55	37	299
56	38	298
57	39	299
58	39	297
59	40	296
60	41	295
61	41	294
62	42	292
63	42	291
64	43	290
65	44	289
66	44	288
67	45	286
68	45	285
69	46	284
70	46	283
71	47	282
72	48	281
73	48	280
74	49	279
75	49	278
76	50	277
77	51	276
78	51	274
79	51	272
80	52	271
81	53	271
82	53	270
83	54	269
84	54	268
85	55	267
86	56	266
87	56	264
88	57	263
89	57	262
90	58	262
91	58	261
92	59	260
93	60	259
94	60	258
95	61	257
96	61	256
97	62	256
98	63	255
99	63	255
100	64	254
101	65	253
102	65	252
103	66	251
104	66	250
105	67	250
106	67	249
107	68	248
108	69	247
109	69	246
110	70	246
111	70	245
112	71	244
113	71	243
114	72	242
115	72	241
116	73	240
117	74	239
118	74	238
119	75	238
120	75	237
121	76	236
122	77	236
123	77	235
124	78	234
125	78	233
126	79	233
127	80	232
128	80	231
129	81	231
130	81	230
131	82	229
132	82	228
133	83	228
134	84	227
135	84	226
136	85	225
137	85	225
138	86	224
139	86	223
140	87	222
141	87	221
142	88	220
143	89	220
144	89	219
145	90	218
146	90	218
147	91	217
148	91	216
149	92	215
150	93	215
151	93	214
152	94	213
153	94	212
154	95	212
155	95	211
156	96	210
157	97	210
158	97	209
159	98	208
160	98	207
161	99	207
162	99	206
163	100	205
164	101	205
165	101	204
166	102	203
167	102	202
168	103	202
169	103	201
170	104	200
171	104	200
172	105	199
173	106	198
174	106	197
175	107	197
176	107	196
177	108	195
178	108	195
179	109	194
180	109	193
181	110	193
182	111	192
183	111	191
184	112	191
185	112	190
186	113	189
187	114	189
188	114	188
189	115	187
190	115	187
191	116	186
192	116	185
193	117	185
194	117	184
195	118	183
196	118	182
197	119	182
198	120	181
199	120	181
200	121	180
201	121	179
202	122	178
203	122	178
204	123	177
205	123	176
206	124	175
207	124	175
208	125	174
209	125	173
210	126	172
211	126	172
212	127	171
213	127	170
214	128	169
215	128	169
216	129	168
217	129	167
218	130	167
219	131	166
220	131	166
221	132	165
222	132	164
223	133	164
224	133	163
225	134	162
226	134	161
227	135	161
228	135	160
229	136	160
230	136	159
231	137	158
232	137	158
233	138	157
234	138	156
235	139	155
236	139	155
237	140	154
238	141	154
239	141	153
240	142	152
241	142	151
242	143	151
243	143	150
244	144	149
245	144	149
246	145	148
247	145	147
248	146	147
249	146	146
250	147	146
251	147	145
252	148	144
253	148	144
254	149	143
255	149	142
256	150	142
257	150	141
258	151	140
259	151	140
260	152	139
261	152	138
262	153	138
263	153	137
264	154	136
265	154	136
266	155	135
267	155	135
268	156	134
269	157	133
270	157	133
271	158	132
272	158	131
273	159	131
274	159	130
275	160	129
276	160	129
277	161	128
278	161	128
279	162	127
280	162	126
281	163	126
282	163	125
283	164	124
284	164	124
285	165	123
286	165	122
287	166	122
288	166	121
289	167	121
290	167	120
291	168	120
292	168	119
293	169	118
294	169	118
295	170	117
296	170	116
297	171	116
298	172	115
299	172	115
300	173	114
301	174	114
302	174	113
303	175	112
304	175	112
305	176	111
306	176	111
307	177	110
308	177	109
309	178	109
310	179	108
311	179	108
312	180	107
313	180	106
314	181	106
315	181	105
316	182	105
317	182	104
318	183	104
319	183	103
320	184	102
321	184	102
322	185	101
323	185	100
324	186	100
325	186	99
326	187	99
327	188	98
328	188	97
329	188	97
330	189	96
331	189	96
332	190	95
333	190	94
334	191	94
335	192	93
336	192	93
337	193	92
338	193	92
339	194	91
340	194	90
341	195	90
342	196	89
343	196	89
344	197	88
345	198	88
346	199	87
347	199	87
348	200	86
349	200	86
350	201	85
351	201	84
352	202	84
353	203	83
354	203	83
355	204	82
356	204	82
357	205	81
358	205	80
359	206	80
360	207	79
361	208	79
362	208	78
363	209	78
364	209	77
365	210	77
366	211	76
367	211	75
368	212	75
369	212	74
370	213	74
371	214	73
372	214	73
373	215	72
374	215	71
375	216	71
376	216	70
377	217	70
378	217	69
379	218	69
380	219	68
381	219	67
382	220	67
383	220	66
384	221	66
385	222	65
386	222	65
387	223	64
388	223	63
389	224	63
390	224	62
391	225	62
392	225	61
393	226	60
394	226	60
395	227	59
396	228	59
397	228	58
398	229	57
399	229	57
400	230	56
401	230	56
402	231	55
403	231	55
404	232	54
405	232	53
406	233	53
407	233	52
408	234	52
409	234	51
410	235	50
411	235	50
412	236	49
413	236	49
414	237	48
415	238	48
416	238	47
417	239	46
418	239	46
419	240	45
420	240	45
421	241	44
422	241	43
423	242	43
424	243	42
425	243	42
426	244	41
427	244	41
428	245	40
429	245	39
430	246	39
431	246	38
432	247	38
433	247	37
434	248	37
435	248	36
436	249	35
437	250	35
438	250	34
439	250	34
440	251	33
441	251	33
442	252	32
443	253	31
444	253	31
445	254	30
446	254	30
447	255	29
448	255	29
449	256	28
450	256	27
451	257	27
452	257	26
453	258	26
454	258	25
455	259	25
456	260	24
457	260	23
458	261	23
459	261	22
460	262	22
461	262	21
462	263	21
463	263	20
464	264	19
465	264	19
466	265	18
467	265	18
468	266	17
469	267	17
470	267	16
471	268	15
472	268	15
473	269	14
474	269	14
475	270	13
476	270	13
477	271	12
478	271	11
479	272	11
480	272	10
481	273	10
482	273	9
483	274	9
484	274	8
485	275	7
486	275	7
487	276	6
488	277	6
489	277	5
490	278	5
491	278	4
492	279	3
493	279	3
494	280	2
495	280	2
496	281	1
497	281	1
498	282	0
499	282	0
